;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;sub;AG
1;2;2;4;0;3;5;1;1;0;0;0;2;3;0;3;3;1;7;0;0;1;0;3;0;2;1;4;5;1;2;1;older
2;1;1;5;0;1;0;5;2;0;3;1;1;5;0;0;2;2;6;0;2;3;1;6;1;2;1;2;2;0;1;2;older
3;4;2;3;0;1;2;2;4;0;1;0;2;9;0;1;0;0;6;0;2;0;3;7;0;0;2;1;4;0;0;3;older
4;3;2;3;0;0;1;3;4;0;1;1;3;2;0;2;1;2;6;0;1;2;3;2;0;1;2;3;4;0;2;4;older
5;0;3;1;0;0;3;7;1;0;2;0;2;4;0;1;3;3;4;0;2;0;4;4;1;2;0;2;5;0;1;5;older
6;2;4;0;1;1;2;7;1;0;0;1;4;4;0;2;1;3;1;0;3;1;3;4;1;2;2;4;0;0;2;6;older
7;1;3;3;0;2;4;2;3;0;1;2;1;3;0;0;3;1;9;0;0;2;0;5;0;0;0;2;7;0;2;7;older
8;3;1;3;0;1;5;1;4;0;0;3;2;7;0;0;1;0;2;0;3;0;0;0;7;1;0;0;1;10;1;8;older
9;2;3;3;0;1;4;3;2;0;1;2;0;1;0;4;1;2;5;0;3;0;0;4;0;2;1;1;4;0;7;9;older
10;5;1;3;0;0;2;1;5;0;1;1;0;5;1;1;2;1;4;0;2;3;1;5;1;1;2;0;4;1;0;10;older
11;3;2;3;0;0;0;4;5;0;2;0;3;4;0;0;5;0;5;0;2;0;3;4;0;1;3;3;2;0;1;11;older
12;2;0;3;0;0;5;1;5;1;1;3;1;3;0;4;3;0;1;0;3;3;1;3;0;2;4;1;3;0;3;12;older
13;3;3;1;0;2;2;5;2;0;0;1;3;1;0;3;1;6;4;0;1;0;3;3;0;0;0;7;4;0;0;13;older
14;1;2;5;0;3;2;2;3;0;0;1;4;6;0;1;2;3;2;0;0;2;1;3;1;1;1;1;3;3;3;14;older
15;0;5;2;0;0;0;11;0;0;0;0;4;2;0;0;0;9;3;0;1;4;1;1;0;3;3;0;0;0;7;15;older
16;1;2;5;0;0;4;6;1;0;0;1;0;4;0;1;1;2;5;1;2;3;3;4;0;1;1;1;3;0;1;16;older
17;2;2;4;0;1;2;2;5;0;0;0;2;0;0;1;1;6;10;0;0;1;2;1;0;1;3;5;3;0;2;17;older
18;1;1;3;0;3;5;0;3;0;2;1;0;4;0;5;2;2;3;0;1;0;2;5;0;2;2;0;4;1;3;18;older
